price_mean_pfx,price_std_pfx,price_min_pfx,price_max_pfx,price2_mean_pfx,price2_std_pfx,country_mode_pfx,page_1_(main_category)_mode_pfx,page_2_(clothing_model)_mode_pfx,colour_mode_pfx,model_photography_mode_pfx,country_nunique_pfx,page_1_(main_category)_nunique_pfx,page_2_(clothing_model)_nunique_pfx,colour_nunique_pfx,model_photography_nunique_pfx,target
40.6,10.99090533122727,28,52,1.6,0.5477225575051662,29,2,A13,1,1,1,2,5,4,2,1
55.2,10.545141061171254,38,67,1.2,0.4472135954999579,29,2,A10,2,1,1,2,5,5,1,1
42.0,8.94427190999916,28,48,1.4,0.5477225575051661,21,3,B17,4,1,1,2,5,5,2,1
45.25,12.789970028633114,33,62,1.5,0.5773502691896257,21,1,A34,2,1,1,2,4,2,1,1
57.0,0.0,57,57,1.0,0.0,9,3,C21,14,1,1,1,1,1,1,1
42.8,9.628083921528727,33,57,1.6,0.5477225575051662,9,3,B17,6,1,1,2,5,3,2,1
40.8,14.024977718342372,28,62,1.6,0.5477225575051661,29,4,A11,14,1,1,3,5,4,2,0
41.6,9.736529155710468,26,48,1.4,0.5477225575051661,9,3,B23,7,1,1,2,5,4,2,1
41.0,14.730919862656236,28,57,1.6666666666666667,0.5773502691896258,29,1,A1,4,1,1,2,3,3,1,1
45.4,12.03328716519306,28,57,1.4,0.5477225575051662,16,2,A1,4,1,1,2,5,5,2,1
72.0,0.0,72,72,1.0,0.0,9,1,A3,3,1,1,1,1,1,1,1
54.0,2.7386127875258306,52,57,1.0,0.0,29,2,B3,12,1,1,1,4,4,1,1
38.0,8.660254037844387,28,43,2.0,0.0,38,1,A1,3,1,1,1,3,2,1,1
43.0,0.0,43,43,2.0,0.0,9,1,A41,4,1,1,1,1,1,1,1
45.6,12.074767078498864,28,57,1.6,0.5477225575051662,21,1,A1,3,1,1,2,5,3,2,0
30.5,3.5355339059327378,28,33,2.0,0.0,29,4,P61,1,2,1,1,2,2,1,1
39.8,14.956603892595403,18,57,1.6,0.5477225575051662,9,3,A6,13,1,1,3,5,3,2,1
47.6,14.501724035437991,28,62,1.6,0.5477225575051661,9,1,A17,2,1,1,1,4,3,1,0
39.0,6.51920240520265,33,48,1.6,0.5477225575051661,29,3,A10,11,1,1,3,5,4,2,1
36.333333333333336,2.886751345948128,33,38,1.6666666666666667,0.5773502691896258,29,1,A23,3,2,1,2,3,2,2,1
39.8,16.39207125411551,23,67,1.8,0.4472135954999579,29,2,B10,2,1,1,3,5,3,1,1
44.0,12.0,38,62,1.75,0.5,9,1,A10,2,1,1,1,4,3,2,1
41.0,13.856406460551018,33,57,1.6666666666666667,0.5773502691896257,29,1,A15,2,1,1,3,3,2,2,1
43.6,10.310189135025604,33,57,1.6,0.5477225575051661,29,2,B1,6,1,1,2,5,3,1,1
43.0,7.0710678118654755,38,48,1.5,0.7071067811865476,9,2,B17,6,1,1,2,2,2,2,1
50.0,16.97056274847714,38,62,1.5,0.7071067811865476,29,1,A10,3,1,1,1,2,1,1,1
46.8,7.049822692805827,38,57,1.2,0.4472135954999579,9,3,A4,3,2,1,3,5,4,2,1
38.0,7.905694150420948,28,48,1.8,0.4472135954999579,29,1,A10,3,1,1,3,5,3,2,1
44.333333333333336,17.03917055884274,28,62,1.6666666666666667,0.5773502691896257,29,1,A1,3,1,1,1,3,2,1,1
39.0,8.94427190999916,28,48,1.8,0.4472135954999579,29,3,B7,12,1,1,2,5,4,1,0
43.8,7.9498427657407165,33,52,1.4,0.5477225575051661,29,2,A16,1,1,1,3,5,5,1,0
38.0,5.0,33,43,2.0,0.0,29,1,A12,2,1,1,2,3,3,2,1
